prognosis,Doctor
Fungal infection,dermatologist 
Allergy,Allergist
GERD,gastroenterologist
Chronic cholestasis,hepatologist
Drug Reaction,Allergist
Peptic ulcer diseae,gastroenterologist
AIDS,infectious disease doctor
Diabetes,diabetologist
Gastroenteritis,general physician
Bronchial Asthma,Allergist.
Hypertension,cardiologist 
Migraine,a neurologist.
Cervical spondylosis,orthopedic specialist
Paralysis (brain hemorrhage),a neurologist
Jaundice,gastroenterologist
Malaria,general physician
Chicken pox,general physician
Dengue,infectious diseases specialist
Typhoid,general physician
hepatitis A,gastroenterologist
Hepatitis B,gastroenterologist
Hepatitis C,gastroenterologist
Hepatitis D,gastroenterologist
Hepatitis E,gastroenterologist
Alcoholic hepatitis,gastroenterologist
Tuberculosis,infectious diseases specialist
Common Cold,general physician
Pneumonia,Respiratory Medicine Specialist.
Dimorphic hemmorhoids(piles),gastroenterologist
Heart attack,cardiologist 
Varicose veins,Varicose Veins Treatment Specialists
Hypothyroidism,endocrinologist
Hyperthyroidism,endocrinologist
Hypoglycemia,endocrinologist 
Osteoarthristis,Rheumatologist
Arthritis,Rheumatologist 
(vertigo) Paroymsal  Positional Vertigo,ENT specialist
Acne,dermatologist 
Urinary tract infection,urologist
Psoriasis,dermatologist 
Impetigo,dermatologist 
